_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_ja,description,description_de,description_fr,description_es,description_it,description_ja
160,78,10,Evasion +1,Ausweichen +1,Évasion +1,Evasión +1,Schivata +1,,Slightly extends the invulnerability period when evading.,Verlängert die Unverwundbarkeitsdauer beim Ausweichen leicht.,Prolonge légèrement la durée d'invincibilité en cas d'évasion.,Extiende algo el periodo de invulnerabilidad al esquivar.,Prolunga leggermente il periodo di invulnerabilità di una schivata.,
161,78,-10,Evasion Down,Ausweichen -,Évasion -,Evasión -1,Schivata -1,,Reduces the invulnerability period when evading.,Verringert die Unverwundbarkeitsdauer beim Ausweichen.,Diminue la durée d'invincibilité en cas d'évasion.,Reduce el periodo de invulnerabilidad durante la evasión.,Riduce il periodo di invulnerabilità di una schivata.,
162,79,10,Evade Extender,Ausweichen hoch,Esquive +,Distancia evasión,Schivatore+,,Increases evade distance.,Erhöht die Ausweichentfernung.,Augmente la distance d'évasion.,Aumenta la distancia de evasión.,Aumenta la distanza di schivata.,
163,80,10,Bubbly Dance,Blasentanz,Danse de bulles,Danza burbujeante,Danza bollicine,,"Evading covers you in bubbles, improving your ability to dodge enemy attacks.","Durch Ausweichen wirst du mit Bläschen bedeckt, was deine Ausweichfähigkeit steigert.",Les esquives vous couvrent de bulles augmentant vos chances d'éviter les attaques.,"Esquivar te cubre de burbujas, lo cual aumenta tu capacidad para evitar ataques enemigos.",Schivando accumuli bolle che aumentano la tua capacità di evitare gli attacchi nemici.,
164,81,15,Guard +2,Block +2,Garde +2,Guardia +2,Guardia +2,,Greatly increases the likelihood of standing your ground when blocking an attack.,"Macht es viel wahrscheinlicher, dass du beim Blocken deine Stellung hältst.",Diminue grandement la probabilité d'être repoussé en bloquant une attaque.,Aumenta mucho la probabilidad de mantener la posición al bloquear un ataque.,Aumenta molto la probabilità di resistere al colpo quando blocchi un attacco.,
165,81,10,Guard +1,Block +1,Garde +1,Guardia +1,Guardia +1,,Increases the likelihood of standing your ground when blocking an attack.,"Macht es wahrscheinlicher, dass du beim Blocken deine Stellung hältst.",Diminue la probabilité d'être repoussé en bloquant une attaque.,Aumenta la probabilidad de mantener la posición al bloquear un ataque.,Aumenta la probabilità di resistere al colpo quando blocchi un attacco.,
166,81,-10,Guard -1,Block -1,Garde -1,Guardia -1,Guardia -1,,Decreases the likelihood of standing your ground when blocking an attack.,"Macht es unwahrscheinlicher, dass du beim Blocken deine Stellung hältst.",Augmente la probabilité d'être repoussé en bloquant une attaque.,Reduce la probabilidad de mantener la posición al bloquear un ataque.,Riduce la probabilità di resistere al colpo quando blocchi un attacco.,
167,82,10,Guard Up,Block +,Paladin,Escudo,Blocco,,Causes previously unblockable attacks to become blockable.,Macht vormals unblockbare Angriffe blockbar.,Vous pouvez maintenant bloquer les attaques imparables.,Hace que ataques que no eran bloqueables se hagan bloqueables.,Rende bloccabili attacchi che prima non lo erano.,
168,83,10,Knockout King,Knock-out-König,Roi du KO,Boxeador,Storditore,,Makes it easier to stun monsters.,Erleichtert die Betäubung von Monstern.,Vous étourdissez plus facilement les monstres.,Facilita el aturdimiento de monstruos.,Rende più facile stordire i mostri.,
169,84,10,Stamina Thief,Ausdauerdieb,Vol de stamina,Robarresistencia,Ruba resistenza,,Increases certain attacks' ability to Exhaust monsters.,"Erhöht das Potenzial bestimmter Angriffe, Monster zu ermüden.",Augmente votre capacité à épuiser les monstres.,Aumenta la capacidad de ciertos ataques de agotar a monstruos.,Aumenta la capacità di determinati attacchi di affaticare i mostri.,
170,85,10,Horn Maestro,Horn-Maestro,Maestro,Músico,Maestro corno,,"Decreases the likelihood of Horn/Flute items breaking, and increases the effect time of Hunting Horn melodies.",Senkt Bruchwahrscheinlichkeit von Horn-/Flötenobjekten und erhöht Wirkzeit von Jagdhornmelodien.,Rend les cornes et flûtes moins cassables et augmente la durée d'effet de leurs mélodies.,"Cuernos/flautas se rompen menos al tocarlos, y alarga el efecto de las melodías de cornamusa.","Riduce la probabilità di rompere corni e flauti, prolunga l'effetto di melodie del corno da caccia.",
171,86,15,Artillery Expert,Artillerieexperte,Artilleur expert,Artillería +2,Artigliere +2,,"Boosts Ballistae, Crag shots, Impact Phials, Shells, etc. Makes the Heat Gauge more manageable.","Verstärkt Ballisten, Explosiv S, Aufprall-Phiole, Geschosse etc. Zügelt den Hitzebalken.","Améliore les balistes, fioles de choc, munitions antiblindage, lancecanon, jauge chaleur, etc.","Potencia ráfagas de balista, disp. explos., rev. de impacto, munición, etc. Mejor control del ind. de calor.","Potenzia balista, P esplosivi, bocc. impatto, ecc. Aiuta a gestire la barra calore.",
172,86,10,Artillery Novice,Artillerienovize,Artilleur novice,Artillería +1,Artigliere +1,,"Slightly boosts Ballistae, Crag shots, Impact Phials, Shells, etc. Makes the Heat Gauge more manageable.","Verstärkt Ballisten, Explosiv S, Aufprall-Phiole, Geschosse etc. leicht. Zügelt den Hitzebalken.","Améliore un peu les balistes, fioles de choc, antiblindage, lancecanon, jauge chaleur, etc.","Mejora disp. de balista, explosivos, rev. de impacto, munición, etc. Mejor control del indic. de calor.","Potenzia leggermente balista, P esplosivi, bocc. impatto, ecc. Aiuta a gestire la barra calore.",
173,87,10,Partbreaker,Teilebrecher,Destructeur,Destructor,Spaccamostri,,Makes it easier to break or sever parts of monsters.,Erleichtert das Abbrechen oder Abtrennen von Monster-Körperteilen.,Vous brisez ou coupez plus facilement les parties faibles des monstres.,Hace más fácil romper o cortar partes de monstruos.,"Rende più facile ferire, rompere o tagliare parti dei mostri.",
174,88,10,Bombardier,Bombardier,Bombardier,Bombardero,Bombarolo,,"Increases bomb damage, and raises the Combination success rate for all bombs to 100%.",Erhöht Bombenschaden; 100% Kombinier-Erfolgsrate für alle Bomben.,Augmente les dégâts des bombes et passe à 100 % les chances de combinaison des bombes.,Aumenta el daño de bomba y la probabilidad de combinación de todas las bombas al 100%.,Aumenta i danni delle bombe. Il successo di combinazione delle bombe è del 100%.,
175,89,15,Latent Power +2,Latente Kraft +2,Force latente +2,Poder oculto +2,Forza +2,,Greatly empowers you for a limited time when certain conditions are met.,"Macht dich für einen begrenzten Zeitraum viel stärker, wenn bestimmte Bedingungen erfüllt sind.",Vous donne beaucoup de force pendant une durée limitée dans certaines conditions.,Te da gran poder durante un tiempo limitado cuando se dan unas condiciones determinadas.,"Ti rinforza molto, temporaneamente, in determinate condizioni.",
176,89,10,Latent Power +1,Latente Kraft +1,Force latente +1,Poder oculto +1,Forza +1,,Empowers you for a limited time when certain conditions are met.,"Stärkt dich für einen begrenzten Zeitraum, wenn bestimmte Bedingungen erfüllt sind.",Vous donne de la force pendant une durée limitée dans certaines conditions.,Te da poder durante un tiempo limitado cuando se dan unas condiciones determinadas.,Ti rinforza temporaneamente in determinate condizioni.,
177,90,15,Challenger +2,Herausforderer +2,Challenger +2,Espíritu +2,Sfidante +2,,Greatly increases Attack and Affinity when a large monster in the same area becomes angry.,"Erhöht Angriff und Affinität stark, wenn ein großes Monster im selben Bereich wütend wird.",Augmente grandement l'attaque et l'affinité si un grand monstre dans la même zone s'énerve.,Aumenta mucho ataque y afinidad cuando un monstruo grande se enfada en la misma área.,Aumenta molto attacco e affinità quando un mostro grande si arrabbia nella stessa area.,
178,90,10,Challenger +1,Herausforderer +1,Challenger +1,Espíritu +1,Sfidante +1,,Increases Attack and Affinity when a large monster in the same area becomes angry.,"Erhöht Angriff und Affinität, wenn ein großes Monster im selben Bereich wütend wird.",Augmente l'attaque et l'affinité si un grand monstre dans la même zone s'énerve.,Aumenta el ataque y la afinidad cuando un monstruo grande se enfada en la misma área.,Aumenta attacco e affinità quando un mostro grande si arrabbia nella stessa area.,
179,91,10,Peak Performance,Höchstleistung,Perfection,Plena forma,Forma perfetta,,Increases Attack when your Health Gauge is full.,"Erhöht Angriff, wenn dein Gesundheitsbalken gefüllt ist.",Augmente l'attaque quand votre jauge de vie est pleine.,Aumenta el ataque cuando el indicador de salud está al máximo.,Aumenta l'attacco quando la tua barra vita è piena.,
180,92,10,Trump Card,Trumpfkarte,Atout majeur,Carta ganadora,Asso,,Increases Hunter Art power during fights with large monsters when the chance arises.,"Erhöht Kraft der Jagdtechniken gegen große Monster, wenn sich eine Gelegenheit bietet.",Augmente la puissance des arts de chasse contre les grands monstres.,Aumenta la potencia de las técnicas de caza contra monstruos grandes cuando sea posible.,Può potenziare le arti di caccia negli scontri con i mostri grandi.,
181,93,15,Adrenaline +2,Adrenalin +2,Adrénaline +2,Adrenalina +2,Adrenalina +2,,Greatly increases Attack and Defense when Health is below 40% of the maximum amount.,"Angriff und Verteidigung steigen stark, wenn die Gesundheit unter 40% des Maximalwertes sinkt.",Augmente grandement l'attaque et la défense quand la vie est inférieure à 40 % du maximum.,Aumenta mucho ataque y defensa cuando la salud esté por debajo del 40% de su cantidad máxima.,Aumenta molto attacco e difesa quando la vita è al di sotto del 40%.,
182,93,10,Adrenaline +1,Adrenalin +1,Adrénaline +1,Adrenalina +1,Adrenalina +1,,Greatly increases Defense when Health is below 40% of the maximum amount.,"Verteidigung steigt stark, wenn die Gesundheit unter 40% des Maximalwertes sinkt.",Augmente grandement la défense quand la vie est inférieure à 40 % du maximum.,Aumenta mucho la defensa cuando la salud está por debajo del 40% de su cantidad máxima.,Aumenta molto la difesa se la barra vita è al di sotto del 40%.,
183,93,-10,Worrywart,Pessimist,Inquiétude,Agobiado,Inquietudine,,Decreases Defense boost and Attack when Health is below 40% of maximum.,"Senkt Verteidigungsboost und Angriff, wenn Gesundheit unter 40 % des Maximums fällt.",Réduit le bonus de défense et l'attaque quand la vie est inférieure à 40 % du maximum.,Reduce potenciador defensa y ataque cuando la salud está por debajo del 40% del máximo.,Riduce l'incremento di difesa e l'attacco quando la barra vita si riduce a meno del 40%.,
184,94,10,Fortify,Kräftigen,Ténacité,Fortalecer,Rafforzamento,,Increases your Attack and Defense every time you fall in battle.,"Steigert deinen Angriff und deine Verteidigung jedes Mal, wenn du im Kampf fällst.",Augmente l'attaque et la défense chaque fois que vous tombez au combat.,Aumenta tu ataque y defensa cada vez que caes en combate.,Aumenta l'attacco e difesa quando cadi in battaglia.,
185,95,10,Resentment,Verstimmung,Berserker,Resentimiento,Risentimento,,Increases Attack when your Health Gauge is in the red.,"Steigert Angriff, wenn dein Gesundheitsbalken im roten Bereich ist.",Augmente l'attaque lorsque la jauge de vie est dans le rouge.,Aumenta el ataque cuando el indicador de salud está en rojo.,Aumenta l'attacco quando la barra vita è in rosso.,
186,96,10,Resuscitate,Reanimierung,Corps et âme,Resucitar,Rianimazione,,Increases Attack when you are suffering from abnormal status.,"Steigert Angriff, wenn du einen anormalen Status erleidest.",Augmente l'attaque lorsque vous êtes victime d'une affliction.,Aumenta el ataque cuando sufres un efecto anormal.,Aumenta l'attacco quando subisci gli effetti di status alterati.,
187,97,10,Guts,Mut,Bravoure,Tripas,Coraggio,,Prevents fainting a single time if struck with a lethal blow when a certain amount of Health remains.,"Verhindert einmal Ohnmacht bei tödlichem Schlag, wenn ein gewisser Betrag Gesundheit übrig ist.",Évite un seul évanouissement si vous subissez un coup fatal et qu'il vous reste un certain montant de vie.,Evita desmayarte una vez al recibir un golpe mortal si tienes cierta cantidad de salud.,Previene uno svenimento se colpito da un colpo letale quando resta una certa quantità di vita.,
188,98,10,Sneak,Schleichen,Furtivité,Sigilo,Furtivo,,Decreases the likelihood of being targeted by monsters.,"Verringert die Wahrscheinlichkeit, zum Ziel von Monstern zu werden.",Réduit la probabilité d'être pris pour cible par les monstres.,Reduce la probabilidad de ser atacado por monstruos.,Riduce la probabilità di essere individuati dai mostri.,
189,98,-10,Taunt,Provozieren,Provocation,Provocación,Rumoroso,,Increases the likelihood of being targeted by monsters.,"Vergrößert die Wahrscheinlichkeit, zum Ziel von Monstern zu werden.",Augmente la probabilité d'être repéré par les monstres.,Aumenta la probabilidad de ser atacado por monstruos.,Aumenta la probabilità di essere individuati dai mostri.,
190,99,10,Palico Rally,Kameradentreffen,Esprit Palico,Reunión camaradas,Adunata compagno,,Increases the Attack and Defense of Palicoes.,Erhöht den Angriff und die Verteidigung von Kameraden.,Augmente l'attaque et la défense des Palicos.,Aumenta el ataque y la defensa de los camaradas.,Aumenta l'attacco e la difesa dei compagni.,
191,100,10,Palico Cheer,Kameradenjubel,Bonheur Palico,Ovación camaradas,Incita compagno,,"Allows ""Fist Pump"" gesture to call back fainted/recovering Palicoes. Cannot be used repeatedly.","Ermöglicht, ohnmächtige / erholende Kameraden mit ""Siegerfaust""-Geste zurückzurufen. Nicht wiederholbar.","L'émote ""Victoire !"" rappelle les Palicos évanouis ou en récupération. Usage limité.","""Puño en alto"" llama a camaradas desmayados o en recuperación. No se puede usar repetidamente.",Richiama con il gesto Vittoria compagni svenuti o in recupero. Non permette l'uso ripetuto.,
192,101,10,Mounting Master,Aufsteigmeister,Maître cavalier,Maestro de monta,Gran cavaliere,,Makes it easier to mount and successfully topple a monster.,"Erleichtert es, auf ein Monster aufzusteigen und es zu Fall zu bringen.",Chevaucher un monstre et le renverser devient plus facile.,Facilita permanecer montado en un monstruo hasta derribarlo.,Rende più facile salire e restare in groppa ai mostri.,
193,101,-10,Saddle Sore,Wundgeritten,Lourdaud,Dolor de nalgas,Mal di sella,,Makes it harder to mount and successfully topple a monster.,"Erschwert es, auf ein Monster aufzusteigen und es zu Fall zu bringen.",Chevaucher un monstre et le renverser devient plus difficile.,Dificulta permanecer montado en un monstruo hasta derribarlo.,Rende più difficile salire e restare in groppa ai mostri.,
194,102,10,Airborne,Luftherrschaft,Voltige,Transmisión aérea,Volante,,Increases the damage caused by Jumping Attacks.,Steigert Schaden durch Sprungangriffe.,Augmente les dégâts infligés par les attaques sautées.,Aumenta el daño de los ataques en salto.,Aumenta i danni inflitti dagli attacchi in salto.,
195,103,10,Composed,Gefasst,Maître de soi,Compuesto,Serafico,,Makes it easier to fill the Arts Gauge.,"Erleichtert es, den Technik- balken schneller zu füllen.",Accélère le remplissage de la jauge d'arts.,Facilita llenar los indicadores de técnicas.,Accelera la ricarica della barra delle arti.,
196,104,15,Autotracker,Auto-Aufspürer,Psychique,Autorrastreador,Autotracciamento,,"Large monsters always display on the Map, as if they were marked.",Große Monster werden immer wie markiert auf der Karte angezeigt.,"Affiche toujours les grands monstres sur la carte, comme s'ils portaient un marqueur.","Los monstruos grandes siempre aparecen en el mapa, como si estuviesen marcados.","I mostri grandi compariranno sempre sulla mappa, come se fossero stati segnati.",
197,104,10,Detect,Aufspüren,Détection,Detectar,Individua,,Increases the information displayed on the Map when large monsters are marked.,"Zeigt mehr Informationen auf der Karte, wenn große Monster markiert sind.",Augmente les infos affichées sur la carte quand de grands monstres sont marqués.,Aumenta la información en el mapa cuando hay monstruos grandes marcados.,Aumenta le informazioni mostrate sulla mappa quando segni mostri grandi.,
198,105,10,Capture Guru,Fang-Guru,Gourou,Gurú de captura,Guru cattura,,Grants knowledge of when a large monster can be captured.,"Verleiht Wissen über den Zeit- punkt, an dem ein großes Monster gefangen werden kann.",Indique quand un grand monstre peut être capturé.,Aporta conocimiento sobre cuándo se puede capturar a un monstruo grande.,Ti permette di sapere quando puoi catturare un mostro grande.,
199,106,10,Outdoorsman,Naturbursche,Art de la chasse,Soldado,Campeggiatore,,"Always shows the Map, even if you don't have one. Easier to fish and BBQ meat.","Zeigt immer die Karte, auch wenn man keine hat. Praktisch beim Angeln und Grillen.",Affiche la carte en permanence. Facilite la pêche et la cuisson au barbecue.,"Muestra el mapa siempre, hasta cuando no tienes. Así es más fácil pescar y cocinar.","Mostra la mappa, anche se non la possiedi. Rende più semplice la pesca e il barbecue.",
200,107,10,Pro Transporter,Rucksackexperte,Transporteur,Porteador experto,Super-Portatore,,Increases your speed while transporting items and decreases the likelihood of dropping them.,Erhöht die Geschwindigkeit bei Transport von Gegenständen und senkt Gefahr von Fallenlassen.,Augmente la vitesse lors du transport d'objets et réduit le risque de les lâcher.,Mejora la velocidad al transportar objetos y reduce la probabilidad de que se te caigan.,Rende più veloci quando si trasportano oggetti e riduce la probabilità di perderli.,
201,108,10,Divine Blessing,Göttlicher Schutz,Bénédiction,Bendición divina,Angelo custode,,Sometimes decreases damage taken.,Verringert manchmal erlittenen Schaden.,Diminue parfois les dégâts subis.,A veces reduce el daño recibido.,A volte riduce i danni subiti.,
202,108,-10,Demonic Blessing,Dämonischer Schutz,Malédiction,Bendic. demoníaca,Demone custode,,Sometimes increases damage taken.,Erhöht manchmal den erlittenen Schaden.,Augmente parfois les dégâts subis.,A veces aumenta el daño recibido.,A volte aumenta i danni subiti.,
203,109,10,Hero's Talisman,Heldentalisman,Bouclier saint,Talismán de héroe,Talismano eroico,,Negates the damage from minor enemy attacks.,Hebt den Schaden von kleineren feindlichen Angriffen auf.,Annule les dégâts des attaques ennemies mineures.,Anula el daño de ataques menores del enemigo.,Annulla i danni causati dagli attacchi nemici minori.,
204,110,10,Recovery Up,Erholung +,Restauration +,Curación +1,Medicina+,,Increases the amount recovered when recovering Health.,Steigert die Heilung während der Erholung.,Augmente les effets de la récupération de vie.,Aumenta la cantidad recuperada al recuperar salud.,Aumenta la quantità di punti vita recuperati.,
205,110,-10,Recovery Down,Erholung -,Restauration -,Curación -1,Medicina-,,Decreases the amount recovered when recovering Health.,Senkt die Heilung während der Erholung.,Réduit les effets de la récupération de vie.,Reduce la cantidad recuperada al recuperar salud.,Riduce la quantità di punti vita recuperati.,
206,111,15,Recovery Spd +2,ErholGeschw +2,Récupération +2,Recuperación +2,Recupero +2,,Greatly speeds recovery from temporary damage (the red portion of the Health Gauge).,Viel schnellere Erholung von zeitweiligem Schaden (rot im Gesundheitsbalken).,Récupération bien plus rapide des dégâts temporaires (zone rouge de la jauge de vie).,Acelera mucho la recuperación del daño temporal (parte roja del indicador de salud).,Accelera molto il recupero dai danni temporanei (parte rossa della barra vita).,
207,111,10,Recovery Spd +1,ErholGeschw +1,Récupération +1,Recuperación +1,Recupero +1,,Speeds recovery from temporary damage (the red portion of the Health Gauge).,Bietet schnellere Erholung von zeitweiligem Schaden (rot im Gesundheitsbalken).,Récupération plus rapide des dégâts temporaires (zone rouge de la jauge de vie).,Acelera la recuperación del daño temporal (parte roja del indicador de salud).,Accelera il recupero dai danni temporanei (parte rossa della barra vita).,
208,111,-10,Recovery Spd -1,ErholGeschw -1,Récupération -1,Recuperación -1,Recupero -1,,Slows recovery from temporary damage (the red portion of the Health Gauge).,Langsamere Erholung von zeitweiligem Schaden (rot im Gesundheitsbalken).,Récupération moins rapide des dégâts temporaires (zone rouge de la jauge de vie).,Frena la recuperación del daño temporal (parte roja del indicador de salud).,Rallenta il recupero dai danni temporanei (parte rossa della barra vita).,
209,111,-15,Recovery Spd -2,ErholGeschw -2,Récupération -2,Recuperación -2,Recupero -2,,Greatly slows recovery from temporary damage (the red portion of the Health Gauge).,Viel langsamere Erholung von zeitweiligem Schaden (rot im Gesundheitsbalken).,Récupération bien moins rapide des dégâts temporaires (zone rouge de la jauge de vie).,Frena mucho la recuperación del daño temporal (parte roja del indicador de salud).,Rallenta molto il recupero dai danni temporanei (parte rossa della barra vita).,
210,112,10,Item Use Up,Objektnutzung +,Habile,Efecto objeto +1,Uso oggetti+,,Increases the effect time of certain items.,Verlängert die Wirkungszeit bestimmter Objekte.,Augmente la durée d'effet de certains objets.,Aumenta el tiempo de efecto de ciertos objetos.,Aumenta la durata degli effetti di alcuni oggetti.,
211,112,-10,Item Use Down,Objektnutzung -,Maladroit,Efecto objeto -1,Uso oggetti-,,Decreases the effect time of certain items.,Verkürzt die Wirkungszeit bestimmter Objekte.,Réduit la durée d'effet de certains objets.,Reduce el tiempo de efecto de ciertos objetos.,Riduce la durata degli effetti di alcuni oggetti.,
212,113,15,Wide-Range +2,Wirkbereich +2,Soutien +2,Efecto área +2,Ampia area +2,,Transfers the effects of certain items to companions in the same area.,Überträgt die Wirkung bestimmter Objekte auf Freunde im gleichen Gebiet.,Transfère les effets de certains objets aux amis dans la même zone.,Transfiere los efectos de ciertos objetos a los camaradas en la zona.,Trasmette gli effetti di alcuni oggetti ai compagni nella stessa area.,
213,113,10,Wide-Range +1,Wirkbereich +1,Soutien +1,Efecto área +1,Ampia area +1,,Transfers a portion of the effects of certain items to companions in the same area.,Überträgt einen Teil der Wirkung einiger Objekte auf Freunde im gleichen Gebiet.,Transfère une part des effets de certains objets aux amis dans la même zone.,Transfiere parte de los efectos de ciertos objetos a los camaradas en la zona.,Trasmette parte degli effetti di alcuni oggetti ai compagni nell'area.,
214,114,15,Negate Hunger,Hunger aufheben,Spartiate,Anula hambre,Fame annullata,,Negates maximum Stamina depletion over time.,Hebt maximalen Ausdauer- verlust über Zeit auf.,La stamina maximale ne diminue plus.,Anula el gasto de resistencia con el tiempo.,Annulla il consumo della resistenza massima nel corso del tempo.,
215,114,10,Halve Hunger,Halber Hunger,Ascète,Mitad hambre,Fame dimezzata,,Halves the speed of maximum Stamina depletion over time.,Halbiert maximalen Ausdauer- verlust über Zeit.,La stamina maximale diminue deux fois moins vite.,Reduce a la mitad el ritmo de gasto máximo de resistencia con el tiempo.,Dimezza la velocità del consumo della resistenza massima nel corso del tempo.,
216,114,-10,Raise Hunger,Mehr Hunger,Glouton,Aumenta hambre,Fame aumentata,,Speeds maximum Stamina depletion over time.,Steigert maximalen Ausdauer- verlust über Zeit.,La stamina maximale diminue plus vite.,Acelera el gasto de resistencia con el tiempo.,Accelera il consumo della resistenza massima nel corso del tempo.,
217,114,-15,Double Hunger,Doppelter Hunger,Gargantua,Doble hambre,Doppia fame,,Greatly speeds up maximum Stamina depletion over time.,Steigert maximalen Ausdauer- verlust über Zeit stark.,La stamina maximale diminue nettement plus vite.,Acelera mucho el gasto de resistencia con el tiempo.,Accelera nettamente il consumo della resistenza massima nel corso del tempo.,
218,115,15,Scavenger,Allesfresser,Goinfre,Carroñero,Mangiatutto,,Gives any item you eat or drink the potential to also raise your maximum Stamina.,"Verleiht allem, was du isst oder trinkst, das Potenzial, deine maximale Ausdauer zu erhöhen.",Tous les objets que vous mangez ou buvez augmentent la jauge de stamina.,Dota cualquier objeto que comas o bebas de potencia para subir tu resistencia máxima.,Tutto ciò che mangi o bevi aumenterà anche la tua resistenza massima.,
219,115,10,Gourmand,Feinschmecker,Gourmet,Glotón,Mangiatanto,,Increases the efficacy of meat that raises maximum Stamina.,"Erhöht die Wirksamkeit von Fleisch, das die maximale Ausdauer erhöht.",Les viandes qui augmentent la jauge de stamina sont plus efficaces.,"Aumenta la eficacia de la carne, que sube la resistencia máxima.",Aumenta l'efficacia della carne che aumenta la resistenza massima.,
220,116,15,Speed Eating +2,Schnellessen +2,Carnassier +2,Consumir +2,Pasto veloce +2,,Increases meat-eating and item-consuming speed.,Erhöht die Geschwindigkeit des Fleisch- und Objektkonsums.,Augmente la vitesse de consommation de viande et d'objets.,Aumenta la velocidad de consumo de carne y objetos.,Aumenta la velocità con cui mangi carne e consumi oggetti.,
221,116,10,Speed Eating +1,Schnellessen +1,Carnassier +1,Consumir +1,Pasto veloce +1,,Increases meat-eating speed.,Erhöht die Geschwindigkeit beim Fleischessen.,Augmente la vitesse de consommation de viande.,Aumenta la velocidad de consumo de carne.,Aumenta la velocità con cui mangi carne.,
222,116,-10,Slow Eater,Langsamer Esser,Végétarien,Consumir -1,Pasto lento,,Decreases meat-eating speed.,Verlangsamt das Fleischessen.,Réduit la vitesse de consommation de viande.,Reduce la velocidad de consumo de carne.,Riduce la velocità con cui mangi carne.,
223,117,10,Rationer,Rationierer,Satisfaction,Repartidor,Razionatore,,Sometimes allows you to reuse items after you eat and drink them.,Ermöglicht gelegentlich die erneute Verwendung gegessener und getrunkener Objekte.,Permet occasionnellement de réutiliser des objets après les avoir mangés ou bus.,Te permite reutilizar algunos objetos tras haberlos comido o bebido.,Permette saltuariamente di riutilizzare oggetti che hai mangiato o bevuto.,
224,118,10,Meat Lover,Fleischfan,Cannibale,Carnívoro,Carnivoro,,Raw Meat becomes edible. Rare and Well-done Steaks temporarily grant unlimited Stamina.,Rohes Fleisch wird essbar. Blutige/Gebratene Steaks geben zeitweise unbegrenzte Ausdauer.,Rend la viande crue mangeable. Steaks saignants ou à point : stamina illimitée momentanément,Puedes comer carne cruda. Los bistecs poco hechos y al punto te dan resistencia ilimitada temporal.,"La carne cruda è commestibile. Se al sangue e ben cotta, dona per poco resistenza illimitata.",
225,119,10,Mushromancer,Pilzmagier,Mycophile,Micólogo,Fungomante,,Allows the consumption of mushrooms which grant certain benefits as a result.,"Ermöglicht den Verzehr von Pilzen, die im Gegenzug bestimmte Vorteile verleihen.",Permet de manger des champignons pour en tirer certains bienfaits.,Permite consumir setas para obtener ciertos beneficios de ellas.,"Abilità che permettono di consumare funghi, ottenendo benefici specifici.",
226,120,10,Herbology,Kräuterkunde,Phytothérapie,Herbología,Erboristeria,,Increases the amount of Health recovered from eating Herbs.,"Steigert die Gesundheit, die durch Verzehr von Kräutern wiederhergestellt wird.",Augmente la quantité de vie régénérée par la consommation d'herbes.,Aumenta la cantidad de salud recuperada al comer hierbas.,Aumenta la quantità di punti vita recuperati consumando erbe.,
227,121,15,Combination +45%,Kombination +45%,Combinaison +45%,Combinación +45%,Combinazioni +45%,,Increases your Combination success rate by 45%.,Erhöht deine Kombinier- Erfolgsrate um 45%.,Les chances de succès lorsque vous combinez des objets sont augmentées de 45 %.,Mejora la probabilidad de éxito de las combinaciones en un 45%.,Aumenta del 45% la probabilità di successo delle combinazioni.,
228,121,10,Combination +20%,Kombination +20%,Combinaison +20%,Combinación +20%,Combinazioni +20%,,Increases your Combination success rate by 20%.,Erhöht deine Kombinier- Erfolgsrate um 20%.,Les chances de succès lorsque vous combinez des objets sont augmentées de 20 %.,Mejora la probabilidad de éxito de las combinaciones en un 20%.,Aumenta del 20% la probabilità di successo delle combinazioni.,
229,121,-10,Combination -10%,Kombination -10%,Combinaison -10%,Combinación -10%,Combinazioni -10%,,Decreases your Combination success rate by 10%.,Verringert deine Kombinier- Erfolgsrate um 10%.,Les chances de succès lorsque vous combinez des objets sont réduites de 10 %.,Reduce la probabilidad de éxito de las combinaciones en un 10%.,Riduce del 10% la probabilità di successo delle combinazioni.,
230,121,-15,Combination -20%,Kombination -20%,Combinaison -20%,Combinación -20%,Combinazioni -20%,,Decreases your Combination success rate by 20%.,Verringert deine Kombinier- Erfolgsrate um 20%.,Les chances de succès lorsque vous combinez des objets sont réduites de 20 %.,Reduce la probabilidad de éxito de las combinaciones en un 20%.,Riduce del 20% la probabilità di successo delle combinazioni.,
231,122,10,Combination Pro,Kombi-Profi,Archimage,Combinación+,Alchimista,,Guarantees maximum results with Combinations that can produce more than one item at a time.,"Kombinationen, die mehrere Objekte auf einmal erzeugen, bringen maximale Ergebnisse.",Garantit des résultats maximaux avec les combinaisons qui créent plusieurs objets en même temps.,Garantiza los mejores resultados con combinaciones que producen más de un objeto a la vez.,Assicura i migliori risultati nelle combinazioni che possono produrre più oggetti.,
232,123,10,Trap Master,Fallenmeister,Maître piégeur,Trampero,Maestro trappole,,"Guarantees trap Combinations will succeed, and speeds up trap- and bomb-setting time.",Garantiert den Erfolg von Fallen- kombinationen und beschleunigt die Fallen- und Bombenlegezeit.,"Vous combinez les pièges à 100 %, et vous posez les pièges et les bombes plus rapidement.","Hace que las combinaciones de trampa funcionen, y acelera la colocación de trampas y bombas.",Assicura il successo delle combinazioni per trappole e accelera trappole e bombe.,
233,124,15,Gathering +2,Sammeln +2,Collecte +2,Recogida +2,Raccolta +2,,Often raises the number of times items can be gathered at Gathering Points.,Oft können Objekte an Sammelpunkten häufiger gesammelt werden. ,Augmente souvent le nombre d'utilisations des points de collecte.,A menudo aumenta el número de veces que puedes recoger objetos en zonas de recogida.,Aumenta spesso il numero di utilizzi di un punto di raccolta.,
